,season_week,week_start_date,denv1_cases,denv2_cases,denv3_cases,denv4_cases,other_positive_cases,additional_cases,total_cases,year,month,day,TMAX,TMIN,TAVG,TDTR,PRCP,precipitation_amount,Reanalysis_Year,Reanalysis_Month,Reanalysis_Day,Reanalysis_ air_temperature,Reanalysis_ dew_point_temperature,Reanalysis_relative_humidity,Reanalysis_ specific_humidity,Reanalysis_ minimum_air_temperature,Reanalysis_ maximum_air_temperature,Reanalysis_precipitation_amount,Reanalysis_TDTR,Reanalysis_TAVG,week_number, Week,ndvi_se, ndvi_sw,ndvi_ne,ndvi_nw
244,37,1995-01-08,0,9,0,0,40,42,91,1995,1,8,30.0,21.7,25.9,8.3,0.3,0,1995,1,8,298.21,293.16,73.53,14.56,297.1,299.8,0,2.6999999999999886,298.45000000000005,1,1.0, 2.886167e-01, 2.230750e-01, 2.587429e-01, 2.193333e-01
245,38,1995-01-15,1,3,0,2,51,15,72,1995,1,15,28.3,21.7,25.0,6.6,0.5,0,1995,1,15,296.76,293.28,80.92,14.68,296.1,297.8,5.28,1.6999999999999886,296.95000000000005,2,2.0, 1.755714e-01, NaN, 1.716143e-01, 1.416333e-01
246,39,1995-01-22,3,5,0,2,41,5,56,1995,1,22,30.6,22.2,26.4,8.4,0.0,0,1995,1,22,298.72,294.02,75.32,15.37,297.6,300.4,0,2.7999999999999545,299,3,3.0, 2.122571e-01, -1.193000e-01, 2.293714e-01, -3.590000e-02
247,40,1995-01-29,5,2,0,3,26,10,46,1995,1,29,31.1,21.7,26.4,9.4,0.0,0,1995,1,29,298.22,293.75,76.4,15.12,297.3,300,0.2,2.6999999999999886,298.65,4,4.0, 1.772286e-01, 5.175000e-02, 1.340714e-01, 1.268000e-01
248,41,1995-02-05,0,0,0,0,31,6,37,1995,2,5,32.8,21.1,27.0,11.7,0.0,0,1995,2,5,298.05,293.45,75.65,14.85,295.7,300.5,0.3,4.800000000000011,298.1,5,5.0, 2.172600e-01, NaN, 2.099429e-01, 1.449000e-01
249,42,1995-02-12,0,0,0,1,20,5,26,1995,2,12,32.2,22.2,27.2,10.0,0.0,0,1995,2,12,298.58,293.75,74.62,15.09,297.5,300,0,2.5,298.75,6,6.0, 1.748857e-01, 3.233333e-02, 1.713857e-01, 5.932500e-02
250,43,1995-02-19,0,1,0,0,16,0,17,1995,2,19,28.3,22.2,25.2,6.1,7.6,0,1995,2,19,297.82,292.48,72.22,13.94,297,299.2,1.3,2.1999999999999886,298.1,7,7.0, 1.753143e-01, 6.140000e-02, 2.123286e-01, NaN
251,44,1995-02-26,0,0,0,1,15,1,17,1995,2,26,28.9,21.1,25.0,7.8,0.3,0,1995,2,26,296.82,294.08,84.75,15.46,295.5,298,14.2,2.5,296.75,8,8.0, 1.020143e-01, 9.350000e-02, 1.254143e-01, 6.486667e-02
252,45,1995-03-05,0,1,0,0,16,3,20,1995,3,5,30.0,22.2,26.1,7.8,0.0,0,1995,3,5,297.3,294.2,82.82,15.54,296.4,298.7,3.1,2.3000000000000114,297.54999999999995,9,9.0, 1.229200e-01, 7.355000e-02, 1.099600e-01, 6.865000e-02
253,46,1995-03-12,1,0,0,0,10,0,11,1995,3,12,27.8,22.2,25.0,5.6,0.0,5.7,1995,3,12,296.63,292.54,77.88,14.04,295.8,296.9,1.6,1.099999999999966,296.35,10,10.0, 1.823429e-01, 1.453500e-01, 1.864857e-01, 7.957500e-02
254,47,1995-03-19,1,0,0,0,6,0,7,1995,3,19,31.1,20.6,25.9,10.5,0.0,0,1995,3,19,297.35,291.21,68.38,12.94,295.7,299.8,0,4.100000000000023,297.75,11,11.0, 1.452000e-01, 7.390000e-02, 1.547429e-01, 1.150667e-01
255,48,1995-03-26,2,0,0,1,13,0,16,1995,3,26,29.4,21.1,25.2,8.3,0.0,0,1995,3,26,297.63,290.75,65.62,12.56,295.6,299.9,0,4.2999999999999545,297.75,12,12.0, 2.074333e-01, 3.100000e-02, 2.497143e-01, 2.316500e-01
256,49,1995-04-02,2,0,0,1,10,1,14,1995,4,2,32.8,23.3,28.0,9.5,0.0,0,1995,4,2,298.78,294.55,77.65,15.92,297.5,300.7,0,3.1999999999999886,299.1,13,13.0, 2.451500e-01, 1.986200e-01, 3.054571e-01, 2.595750e-01
257,50,1995-04-09,1,3,0,1,11,0,16,1995,4,9,31.1,23.3,27.2,7.8,0.0,5.43,1995,4,9,298.86,294.65,77.73,16.07,297.4,300.4,0.5,3,298.9,14,14.0, 2.327857e-01, NaN, 2.684143e-01, 2.494000e-01
258,51,1995-04-16,1,0,0,0,4,0,5,1995,4,16,30.0,22.8,26.4,7.2,0.0,6.44,1995,4,16,298.33,294.25,78.22,15.64,297.3,299.7,2.1,2.3999999999999773,298.5,15,15.0, 1.719143e-01, NaN, 1.489429e-01, 3.495000e-02
259,52,1995-04-23,0,0,0,0,2,0,2,1995,4,23,29.4,21.7,25.5,7.7,0.0,0,1995,4,23,297.42,291,67.52,12.76,296.2,299,0,2.8000000000000114,297.6,16,16.0, 2.601571e-01, 1.017000e-01, 2.366143e-01, 1.127000e-01
260,1,1995-04-30,0,0,0,0,6,0,6,1995,4,30,34.4,23.9,29.2,10.5,0.0,20.96,1995,4,30,298.51,295.17,81.68,16.53,297.5,300.3,1.7,2.8000000000000114,298.9,17,17.0, 2.205429e-01, 1.281000e-01, 1.873000e-01, 1.500250e-01
261,2,1995-05-07,0,1,0,0,4,0,5,1995,5,7,30.6,22.8,26.7,7.8,0.5,6.49,1995,5,7,298.16,294.9,82.18,16.28,297,300,1.2,3,298.5,18,18.0, 2.145429e-01, NaN, 1.579714e-01, 1.521000e-01
262,3,1995-05-14,0,0,0,1,3,0,4,1995,5,14,30.6,23.9,27.2,6.7,0.0,36.52,1995,5,14,299.72,295.67,78.7,17.09,298,300.9,1.9,2.8999999999999773,299.45,19,19.0, 1.990714e-01, 1.434500e-01, 1.708857e-01, 1.115000e-01
263,4,1995-05-21,0,0,0,0,3,0,3,1995,5,21,31.7,23.9,27.8,7.8,7.6,5.19,1995,5,21,299.52,296.58,83.77,17.98,298.8,300.3,3.1,1.5,299.55,20,20.0, 1.664333e-01, 3.630000e-02, 1.605714e-01, 9.652500e-02
264,5,1995-05-28,0,0,0,0,4,0,4,1995,5,28,30.6,23.3,27.0,7.3,0.0,50.77,1995,5,28,299.16,295.83,81.9,17.22,298.1,299.9,5.6,1.7999999999999545,299,21,21.0, 2.318286e-01, 3.220000e-02, 2.402714e-01, 1.621333e-01
265,6,1995-06-04,2,1,0,1,12,0,16,1995,6,4,31.1,23.9,27.5,7.2,0.8,0,1995,6,4,298.57,295.65,83.98,17,297.5,299.5,6.7,2,298.5,22,22.0, 1.024714e-01, NaN, 1.095714e-01, 2.412000e-01
266,7,1995-06-11,1,0,0,1,6,0,8,1995,6,11,31.7,23.3,27.5,8.4,1.5,1.34,1995,6,11,299.6,296.57,83.58,18.03,298.4,300.9,3.4,2.5,299.65,23,23.0, 2.666143e-01, 1.549500e-01, 2.119000e-01, 2.780000e-02
267,8,1995-06-18,0,0,0,0,6,1,7,1995,6,18,33.3,26.1,29.7,7.2,0.0,0,1995,6,18,300.75,296.52,77.97,17.98,299.7,302.2,0.9,2.5,300.95,24,24.0, 1.817143e-01, 8.955000e-02, 1.559857e-01, 7.970000e-02
268,9,1995-06-25,1,0,0,1,7,1,10,1995,6,25,31.7,25.6,28.7,6.1,0.0,0,1995,6,25,300.6,295.79,75.15,17.19,299.1,302.4,0.3,3.2999999999999545,300.75,25,25.0, 2.199714e-01, 2.213500e-01, 1.920429e-01, 2.174000e-01
269,10,1995-07-02,1,0,0,0,11,2,14,1995,7,2,33.9,26.7,30.3,7.2,0.0,0,1995,7,2,301.45,296.62,75.22,18.03,300.2,302.9,0,2.6999999999999886,301.54999999999995,26,26.0, 2.412286e-01, 2.319333e-01, 2.656857e-01, 2.115000e-01
270,11,1995-07-09,0,0,0,1,6,0,7,1995,7,9,33.9,26.7,30.3,7.2,0.3,0,1995,7,9,300.31,297.45,84.55,18.99,299.3,301.2,5.8,1.8999999999999773,300.25,27,27.0, 2.370571e-01, 3.093000e-01, 2.420429e-01, 2.909000e-01
271,12,1995-07-16,1,1,0,1,5,1,9,1995,7,16,33.9,26.7,30.3,7.2,0.0,1.42,1995,7,16,300.3,297.25,83.55,18.8,299,302.4,2.6,3.3999999999999773,300.7,28,28.0, 2.424500e-01, NaN, 2.196714e-01, 1.726500e-01
272,13,1995-07-23,0,0,0,0,10,1,11,1995,7,23,31.7,25.0,28.4,6.7,22.1,5.14,1995,7,23,299.49,296.25,82.57,17.7,299.1,300.1,10.5,1,299.6,29,29.0, 1.555714e-01, 1.175000e-01, 1.664857e-01, 1.077500e-01
273,14,1995-07-30,1,4,0,0,15,3,23,1995,7,30,32.8,26.1,29.5,6.7,0.0,2.89,1995,7,30,300.23,297.58,85.53,19.22,299.1,300.7,8.6,1.599999999999966,299.9,30,30.0, 9.420000e-02, NaN, 1.322286e-01, 1.898000e-01
274,15,1995-08-06,0,2,0,1,11,3,17,1995,8,6,33.9,25.6,29.8,8.3,0.3,0,1995,8,6,300.75,295.98,75.22,17.38,299.7,302.3,3.1,2.6000000000000227,301,31,31.0, 1.584857e-01, 6.320000e-02, 2.030286e-01, 9.466667e-02
275,16,1995-08-13,0,0,0,1,17,1,19,1995,8,13,33.3,25.6,29.5,7.7,0.0,0.75,1995,8,13,300.55,296.5,79,17.99,298.2,303.6,0.1,5.400000000000034,300.9,32,32.0, 1.991833e-01, 4.700000e-02, 1.653571e-01, 4.700000e-02
276,17,1995-08-20,0,1,0,1,18,4,24,1995,8,20,32.8,24.4,28.6,8.4,1.8,3.24,1995,8,20,300.03,296.77,82.57,18.3,299.1,301.3,8,2.1999999999999886,300.20000000000005,33,33.0, 1.771571e-01, 8.396667e-02, 1.886714e-01, 9.170000e-02
277,18,1995-08-27,0,1,0,0,13,3,17,1995,8,27,32.2,26.7,29.5,5.5,5.1,0,1995,8,27,300.3,296.33,79.07,17.84,299,301.6,3.9,2.6000000000000227,300.3,34,34.0, 1.374000e-01, 1.131000e-01, 1.324714e-01, 8.620000e-02
278,19,1995-09-03,4,1,0,0,21,2,28,1995,9,3,33.9,26.7,30.3,7.2,0.0,0,1995,9,3,302.11,297.6,76.97,19.21,300.6,303.9,2.2,3.2999999999999545,302.25,35,35.0, 1.723600e-01, 3.260000e-02, 1.968143e-01, 7.256667e-02
279,20,1995-09-10,1,2,0,5,30,2,40,1995,9,10,32.8,25.0,28.9,7.8,5.8,0,1995,9,10,300.38,296.95,81.55,18.43,299.1,301.4,2.3,2.2999999999999545,300.25,36,36.0, 1.851500e-01, 1.071000e-01, 1.699571e-01, 1.836000e-01
280,21,1995-09-17,4,1,0,0,26,2,33,1995,9,17,35.0,26.1,30.5,8.9,0.8,4.07,1995,9,17,299.68,297.3,87,18.96,298.9,300.3,4.7,1.400000000000034,299.6,37,37.0, 1.436857e-01, 5.680000e-02, 1.392000e-01, 5.460000e-02
281,22,1995-09-24,2,3,0,1,21,4,31,1995,9,24,33.9,27.2,30.6,6.7,0.0,8.51,1995,9,24,300.36,296.6,80.1,18.09,299.3,301.5,0,2.1999999999999886,300.4,38,38.0, 1.810167e-01, 1.186333e-01, 2.176167e-01, 8.460000e-02
282,23,1995-10-01,2,1,0,2,25,3,33,1995,10,1,31.7,24.4,28.0,7.3,0.0,0,1995,10,1,300.01,296.58,81.45,18.04,298.9,300.8,4.3,1.900000000000034,299.85,39,39.0, 9.200000e-02, 1.068000e-01, 9.934286e-02, 8.366667e-02
283,24,1995-10-08,2,1,0,0,26,0,29,1995,10,8,31.7,25.0,28.4,6.7,7.6,1.26,1995,10,8,300.11,297.25,84.55,18.82,299,301.3,4.78,2.3000000000000114,300.15,40,40.0, 1.463429e-01, 2.808000e-01, 1.295571e-01, 2.151000e-01
284,25,1995-10-15,2,3,0,3,19,3,30,1995,10,15,32.2,23.9,28.0,8.3,1.0,5.75,1995,10,15,299.97,296.42,81.2,17.91,299.2,300.5,2.3,1.3000000000000114,299.85,41,41.0, 1.316000e-01, 4.082500e-02, 1.375429e-01, 9.660000e-02
285,26,1995-10-22,1,1,0,1,27,6,36,1995,10,22,31.7,24.4,28.0,7.3,1.8,4.91,1995,10,22,299.66,296.73,84.03,18.28,298.6,300.7,6.3,2.099999999999966,299.65,42,42.0, 9.144286e-02, 3.362500e-02, 1.194429e-01, 9.466000e-02
286,27,1995-10-29,3,3,0,2,34,6,48,1995,10,29,31.1,24.4,27.8,6.7,0.0,0,1995,10,29,299.61,295.9,80.45,17.33,298.3,301.3,0.2,3,299.8,43,43.0, 1.581857e-01, NaN, 1.374429e-01, 1.326000e-01
287,28,1995-11-05,0,0,0,2,28,10,40,1995,11,5,30.6,23.3,27.0,7.3,15.5,0,1995,11,5,298.39,295.88,85.9,17.26,297.8,299.2,6.3,1.3999999999999773,298.5,44,44.0, 2.700714e-01, 2.346000e-01, 2.854286e-01, 7.825000e-02
288,29,1995-11-12,0,1,0,1,14,12,28,1995,11,12,30.6,23.3,27.0,7.3,2.3,0,1995,11,12,299.41,294.64,75.23,16.04,298.4,300.5,2.5,2.1000000000000227,299.45,45,45.0, 2.089143e-01, 1.740000e-02, 2.354857e-01, 2.905000e-02
289,30,1995-11-19,0,1,0,1,28,6,36,1995,11,19,31.1,24.4,27.8,6.7,0.0,0,1995,11,19,299.48,294.78,75.32,16.16,298.6,300.8,0.1,2.1999999999999886,299.70000000000005,46,46.0, 1.962500e-01, 4.060000e-02, 1.903429e-01, 7.475000e-02
290,31,1995-11-26,0,0,0,1,16,2,19,1995,11,26,30.6,23.3,27.0,7.3,0.8,13.44,1995,11,26,299.02,296.02,83.77,17.48,298.2,300.4,2.8,2.1999999999999886,299.29999999999995,47,47.0, 2.400143e-01, 3.340000e-02, 2.549000e-01, 1.148667e-01
291,32,1995-12-03,0,0,0,0,18,16,34,1995,12,3,30.6,23.3,27.0,7.3,2.0,0,1995,12,3,299.4,294.89,76.4,16.27,298.8,300.5,0.3,1.6999999999999886,299.65,48,48.0, 2.411714e-01, NaN, 1.688714e-01, 7.637500e-02
292,33,1995-12-10,0,0,0,1,12,10,23,1995,12,10,30.0,23.3,26.6,6.7,9.9,0,1995,12,10,298.02,295.26,84.62,16.61,297.4,298.6,9.1,1.2000000000000455,298,49,49.0, 2.653000e-01, 1.154000e-01, 2.371143e-01, 1.350000e-01
293,34,1995-12-17,0,0,0,1,13,3,17,1995,12,17,27.2,22.8,25.0,4.4,15.2,0,1995,12,17,298.09,294.88,82.38,16.28,297.5,298.4,4.6,0.8999999999999773,297.95,50,50.0, 1.795000e-01, -1.390000e-02, 1.348000e-01, 1.473333e-02
294,35,1995-12-24,0,0,0,0,15,2,17,1995,12,24,32.8,22.8,27.8,10.0,0.0,0,1995,12,24,299.57,295.96,80.7,17.35,298.3,301.5,0.1,3.1999999999999886,299.9,51,51.0, 1.808571e-01, NaN, 1.116571e-01, 3.596667e-02
295,36,1996-01-01,0,1,0,1,20,1,23,1996,1,1,30.0,22.8,26.4,7.2,0.0,0,1996,1,1,297.68,294.59,83,15.94,297,298.6,1.6,1.6000000000000227,297.8,1,1.0, 9.192857e-02, 1.400000e-02, 1.204429e-01, 1.086667e-02
296,37,1996-01-08,1,0,0,1,12,0,14,1996,1,8,31.1,23.3,27.2,7.8,0.0,15,1996,1,8,297.92,295.05,84.07,16.4,297.1,298.6,4.4,1.5,297.85,2,2.0, 1.842429e-01, 1.514333e-01, 1.828000e-01, 1.262333e-01
297,38,1996-01-15,2,0,0,0,18,0,20,1996,1,15,27.8,23.3,25.5,4.5,0.3,0,1996,1,15,296.33,294.54,89.68,15.88,295.9,297.2,23,1.3000000000000114,296.54999999999995,3,3.0, 1.466571e-01, 1.490000e-02, 1.969857e-01, 7.636667e-02
298,39,1996-01-22,1,0,0,0,12,0,13,1996,1,22,28.3,22.8,25.5,5.5,0.3,0,1996,1,22,297.26,292.42,74.25,13.92,296.1,297.9,1.4,1.7999999999999545,297,4,4.0, 2.194571e-01, 9.580000e-02, 2.229000e-01, 1.381000e-01
299,40,1996-01-29,0,1,0,0,20,2,23,1996,1,29,27.8,21.7,24.8,6.1,0.5,0,1996,1,29,297.06,290.8,67.97,12.58,295.8,298.2,0.4,2.3999999999999773,297,5,5.0, 2.058429e-01, 6.270000e-02, 2.097286e-01, 1.475333e-01
300,41,1996-02-05,1,0,0,3,14,2,20,1996,2,5,27.8,22.2,25.0,5.6,4.1,0,1996,2,5,297.76,293.01,74.93,14.42,296.7,299,0.6,2.3000000000000114,297.85,6,6.0, 1.646000e-01, 2.765000e-02, 1.686857e-01, 4.075000e-02
301,42,1996-02-12,0,0,0,0,16,0,16,1996,2,12,31.1,21.1,26.1,10.0,0.0,0,1996,2,12,298.53,293.1,71.82,14.51,297.7,299.9,0,2.1999999999999886,298.79999999999995,7,7.0, 2.188143e-01, 6.895000e-02, 2.143000e-01, 1.368500e-01
302,43,1996-02-19,0,1,0,0,14,1,16,1996,2,19,28.9,22.2,25.5,6.7,17.3,0,1996,2,19,297.66,294.2,81.12,15.59,296.8,298.8,6.9,2,297.8,8,8.0, 1.627857e-01, NaN, 1.252143e-01, 5.830000e-02
303,44,1996-02-26,2,0,0,0,19,2,23,1996,2,26,28.9,23.3,26.1,5.6,0.0,0,1996,2,26,297.38,292.83,75.92,14.29,296.5,298.5,0,2,297.5,9,9.0, 2.699333e-01, 7.600000e-02, 2.227714e-01, 1.089750e-01
304,45,1996-03-04,1,1,0,1,11,0,14,1996,3,4,29.4,21.7,25.5,7.7,2.0,0,1996,3,4,297.06,293.51,80.62,14.88,296.2,298.5,2,2.3000000000000114,297.35,10,10.0, 1.926667e-01, NaN, 1.776429e-01, 1.100500e-01
305,46,1996-03-11,0,0,0,1,10,4,15,1996,3,11,31.1,23.9,27.5,7.2,0.8,0,1996,3,11,298.76,294.17,75.65,15.5,297.8,299.9,0.9,2.099999999999966,298.85,11,11.0, 1.764286e-01, 3.786667e-02, 1.658571e-01, 3.680000e-02
306,47,1996-03-18,0,0,0,0,3,1,4,1996,3,18,29.4,22.2,25.8,7.2,2.5,0,1996,3,18,297.43,293.56,79.07,14.97,296.6,298.5,0.4,1.8999999999999773,297.55,12,12.0, 1.855286e-01, 7.713333e-02, 2.112714e-01, 1.118000e-01
307,48,1996-03-25,0,1,0,0,4,0,5,1996,3,25,30.0,23.9,27.0,6.1,0.5,0,1996,3,25,298.39,293.02,72.2,14.43,296.9,299.8,1.9,2.900000000000034,298.35,13,13.0, 1.378857e-01, NaN, 1.538429e-01, -4.570000e-02
308,49,1996-04-01,0,0,0,0,4,1,5,1996,4,1,30.6,22.2,26.4,8.4,0.0,0,1996,4,1,298.19,293.88,77.43,15.28,296.7,300.3,0.9,3.6000000000000227,298.5,14,14.0, 8.510000e-02, 4.480000e-02, 1.079429e-01, 2.422500e-02
309,50,1996-04-08,2,1,0,1,4,3,11,1996,4,8,31.1,23.3,27.2,7.8,0.0,0,1996,4,8,298.25,294.08,77.67,15.43,297.1,300,0.4,2.8999999999999773,298.55,15,15.0, 1.627286e-01, 4.970000e-02, 1.776429e-01, 1.488000e-01
310,51,1996-04-15,0,0,0,1,9,1,11,1996,4,15,28.9,23.3,26.1,5.6,0.0,0,1996,4,15,298.01,293.2,74.9,14.64,296.9,299.6,0.7,2.7000000000000455,298.25,16,16.0, 2.162143e-01, 8.893333e-02, 2.278286e-01, 1.223500e-01
311,52,1996-04-22,2,0,0,0,4,1,7,1996,4,22,30.0,23.9,27.0,6.1,0.3,0,1996,4,22,297.81,293.5,76.95,14.89,297,299,6,2,298,17,17.0, 1.786857e-01, NaN, 1.805143e-01, 1.078000e-01
312,1,1996-04-29,1,0,0,0,3,0,4,1996,4,29,29.4,22.2,25.8,7.2,5.3,0,1996,4,29,297.61,293.47,77.93,14.89,297,298.5,3.6,1.5,297.75,18,18.0, 2.231000e-01, 3.144667e-01, 2.046286e-01, 1.974000e-01
313,2,1996-05-06,0,0,0,1,5,0,6,1996,5,6,28.9,23.3,26.1,5.6,0.0,0,1996,5,6,297.71,293.4,77.18,14.83,296.5,299.4,3,2.8999999999999773,297.95,19,19.0, 9.640000e-02, -4.640000e-02, 9.445714e-02, -3.840000e-02
314,3,1996-05-13,0,0,0,2,3,0,5,1996,5,13,28.9,23.3,26.1,5.6,10.7,1.87,1996,5,13,297.94,295.33,85.43,16.68,296.9,298.9,5,2,297.9,20,20.0, 1.463000e-01, NaN, 1.586429e-01, 7.175000e-02
315,4,1996-05-20,0,0,0,0,2,0,2,1996,5,20,30.0,23.9,27.0,6.1,0.0,0,1996,5,20,299.07,294.92,78.12,16.31,297.9,300.7,0,2.8000000000000114,299.29999999999995,21,21.0, 2.153167e-01, 3.390000e-02, 2.181500e-01, 5.570000e-02
316,5,1996-05-27,0,0,0,1,3,0,4,1996,5,27,31.1,25.0,28.0,6.1,8.4,31.98,1996,5,27,299.57,296.57,83.85,18.01,298.1,301.1,3.13,3,299.6,22,22.0, 1.409857e-01, 9.985000e-02, 1.087857e-01, 1.066000e-01
317,6,1996-06-03,0,0,0,0,2,0,2,1996,6,3,31.7,24.4,28.0,7.3,0.0,4.83,1996,6,3,299.64,295.55,78.7,16.95,298.1,301.4,0.9,3.2999999999999545,299.75,23,23.0, 1.793143e-01, 5.290000e-02, 1.579000e-01, 8.007500e-02
318,7,1996-06-10,0,0,0,1,2,1,4,1996,6,10,29.4,23.3,26.3,6.1,5.8,0,1996,6,10,299.03,293.73,72.72,15.12,298.1,300.1,1.4,2,299.1,24,24.0, 1.237500e-01, 9.860000e-02, 1.354500e-01, 8.930000e-02
319,8,1996-06-17,3,1,0,0,2,0,6,1996,6,17,30.6,23.9,27.2,6.7,9.1,3.7,1996,6,17,299.35,295.47,79.4,16.85,298.2,300.8,6.9,2.6000000000000227,299.5,25,25.0, 1.461000e-01, 7.125000e-02, 1.561714e-01, 6.460000e-02
320,9,1996-06-24,2,0,0,1,3,0,6,1996,6,24,31.1,25.6,28.4,5.5,0.0,0,1996,6,24,300.4,296.4,79.2,17.82,299.4,301.8,0,2.400000000000034,300.6,26,26.0, 1.861857e-01, 1.655500e-01, 1.705857e-01, 1.205000e-01
321,10,1996-07-01,0,1,0,2,0,1,4,1996,7,1,31.1,24.4,27.8,6.7,0.0,4.38,1996,7,1,300.14,295.62,76.6,16.99,299.1,301.4,0,2.2999999999999545,300.25,27,27.0, 2.217833e-01, NaN, 1.834333e-01, 7.375000e-02
322,11,1996-07-08,0,0,0,2,2,2,6,1996,7,8,28.3,23.3,25.8,5.0,39.6,21.21,1996,7,8,299.21,296.2,83.62,17.75,297.9,299.8,15.4,1.900000000000034,298.85,28,28.0, 1.641167e-01, 5.763333e-02, 1.680333e-01, 7.825000e-02
323,12,1996-07-15,1,2,0,1,5,2,11,1996,7,15,30.0,23.9,27.0,6.1,0.0,24.3,1996,7,15,298.13,296,88.05,17.35,297.1,299.1,30.2,2,298.1,29,29.0, 1.674286e-01, 1.121000e-01, 1.645429e-01, 9.542500e-02
324,13,1996-07-22,2,1,0,0,10,3,16,1996,7,22,30.0,25.6,27.8,4.4,0.0,0,1996,7,22,300.22,296.4,79.77,17.74,299.2,301.7,0,2.5,300.45,30,30.0, 1.471500e-01, 3.800000e-03, 1.767833e-01, -1.060000e-02
325,14,1996-07-29,1,0,0,2,5,1,9,1996,7,29,30.0,24.4,27.2,5.6,0.5,17.63,1996,7,29,299.93,296.23,80.53,17.61,298.8,301.4,0,2.599999999999966,300.1,31,31.0, 1.986143e-01, 9.683333e-02, 2.044429e-01, 1.150000e-01
326,15,1996-08-05,1,2,0,1,7,1,12,1996,8,5,30.0,25.6,27.8,4.4,0.3,2.27,1996,8,5,299.16,296.8,87.08,18.27,298.2,300,23.8,1.8000000000000114,299.1,32,32.0, 1.329714e-01, NaN, 1.440857e-01, 5.435000e-02
327,16,1996-08-12,1,2,0,0,7,3,13,1996,8,12,31.7,25.0,28.4,6.7,0.0,0,1996,8,12,300,295.62,77.28,16.98,298.6,301.8,0.5,3.1999999999999886,300.20000000000005,33,33.0, 1.425200e-01, 7.950000e-02, 2.317000e-01, 2.910000e-02
328,17,1996-08-19,0,4,0,1,18,4,27,1996,8,19,30.6,23.9,27.2,6.7,0.8,0,1996,8,19,299.29,296.2,83.05,17.58,298.5,300.5,2.9,2,299.5,34,34.0, 3.094667e-01, NaN, 2.312000e-01, 9.555000e-02
329,18,1996-08-26,1,0,0,2,13,5,21,1996,8,26,30.0,24.4,27.2,5.6,1.0,0,1996,8,26,300.28,294.86,72.27,16.26,299.4,301.6,0.3,2.2000000000000455,300.5,35,35.0, 2.981857e-01, 1.203333e-02, 3.126000e-01, 7.396667e-02
330,19,1996-09-02,2,2,0,1,11,3,19,1996,9,2,32.2,25.6,28.9,6.6,0.0,1.52,1996,9,2,300.38,297.25,83.15,18.86,299.1,302.2,4.7,3.099999999999966,300.65,36,36.0, 1.729000e-01, 3.640000e-02, 1.757857e-01, 3.065000e-02
331,20,1996-09-09,1,1,0,0,13,2,17,1996,9,9,29.4,23.3,26.3,6.1,31.8,16.97,1996,9,9,298.73,296.08,85.43,17.59,297.8,299.7,48.5,1.8999999999999773,298.75,37,37.0, 1.678667e-01, 1.043000e-01, 1.728000e-01, 1.068000e-01
332,21,1996-09-16,1,1,0,1,18,3,24,1996,9,16,30.6,22.8,26.7,7.8,85.9,3.43,1996,9,16,299.52,296.75,84.8,18.22,298.3,300.5,4.5,2.1999999999999886,299.4,38,38.0, 1.504286e-01, NaN, 1.078167e-01, 2.845000e-02
333,22,1996-09-23,2,0,0,1,16,8,27,1996,9,23,31.7,25.6,28.7,6.1,0.0,0,1996,9,23,300.57,297.12,81.45,18.59,299.8,302.1,1.9,2.3000000000000114,300.95000000000005,39,39.0, 1.859000e-01, 4.044000e-02, 1.818857e-01, 4.450000e-03
334,23,1996-09-30,1,1,0,1,19,8,30,1996,9,30,30.0,24.4,27.2,5.6,0.8,2.84,1996,9,30,300.02,296.15,79.43,17.57,299.4,301.2,2.1,1.8000000000000114,300.29999999999995,40,40.0, 1.651286e-01, -3.850000e-02, 1.952143e-01, 6.813333e-02
335,24,1996-10-07,0,1,0,1,21,6,29,1996,10,7,31.7,24.4,28.0,7.3,1.0,0,1996,10,7,300.14,297.2,84.15,18.78,299.3,300.8,4.04,1.5,300.05,41,41.0, 2.071833e-01, -6.600000e-03, 2.196167e-01, -3.550000e-02
336,25,1996-10-14,1,1,0,1,14,8,25,1996,10,14,31.7,24.4,28.0,7.3,0.0,0,1996,10,14,299.66,296.27,81.88,17.76,298.4,301.1,4.3,2.7000000000000455,299.75,42,42.0, 2.202286e-01, NaN, 2.358000e-01, 6.090000e-02
337,26,1996-10-21,0,0,0,2,23,10,35,1996,10,21,32.8,25.6,29.2,7.2,6.6,0,1996,10,21,300.28,297.17,83.38,18.73,298.7,302.1,1.9,3.400000000000034,300.4,43,43.0, 1.490143e-01, -9.690000e-02, 1.663143e-01, -9.020000e-02
338,27,1996-10-28,2,1,0,2,20,8,33,1996,10,28,27.2,21.7,24.5,5.5,13.5,14.99,1996,10,28,298.35,295.8,85.9,17.24,297.7,299.2,24.1,1.5,298.45,44,44.0, 1.809429e-01, 5.250000e-03, 1.463571e-01, 1.580000e-02
339,28,1996-11-04,1,3,0,0,21,5,30,1996,11,4,30.0,24.4,27.2,5.6,9.1,1.46,1996,11,4,299.24,295.96,82.32,17.35,298.1,300.8,10,2.6999999999999886,299.45000000000005,45,45.0, 1.236143e-01, -5.675000e-02, 1.353000e-01, -8.650000e-03
